be	was/were	been	быть
have	had	had	иметь
can	could	—	мочь
will	would	—	будет
may	might	—	иметь возможность
do/does	did	done	делать
see	saw	seen	видеть
make	made	made	создать
shall	should	—	должен
know	knew	known	знать
take	took	taken	брать
come	came	come	прийти
give	gave	given	дать
go	went	gone	идти
think	thought	thought	думать
set	set	set	устанавливать
find	found	found	находить
put	put	put	положить
get	got	got	получать
become	became	become	становиться
light	lit	lit	светить
let	let	let	позволять
show	showed	shown	показывать
read	read	read	читать
tell	told	told	сказать
mean	meant	meant	значить
keep	kept	kept	держать
leave	left	left	покидать
feel	felt	felt	чувствовать
bring	brought	brought	приносить
speak	spoke	spoken	разговаривать
cut	cut	cut	резать
fall	fell	fallen	падать
hear	heard	heard	слушать
hold	held	held	держать
lead	led	led	вести
understand	understood	understood	понимать
cost	cost	cost	стоить
run	ran	run	бегать
meet	met	met	встречать
rise	rose	risen	вставать
deal	dealt	dealt	иметь дело
stand	stood	stood	стоять
write	wrote	written	записывать
bear	bore	borne	нести
wind	wound	wound	накручивать, заводить (часы)
lie	lay	lain	ложиться
prove	proved	proven	доказывать
fit	fit	fit	поместиться
learn	learnt	learnt	учить
begin	began	begun	начинать
send	sent	sent	отправлять
spring	sprang	sprung	вскакивать
cast	cast	cast	бросать
spread	spread	spread	распространять
break	broke	broken	ломать
draw	drew	drawn	рисовать
sleep	slept	slept	спать
seek	sought	sought	искать
fight	fought	fought	бороться
sit	sat	sat	сидеть
grow	grew	grown	расти
ring	rang	rung	звенеть
drink	drank	drunk	пить
lose	lost	lost	терять
eat	ate	eaten	есть
choose	chose	chosen	выбирать
drive	drove	driven	водить (машину)
arise	arose	arisen	возникать
build	built	built	строить
dream	dreamt	dreamt	мечта
forget	forgot	forgotten	забывать
buy	bought	bought	покупать
fly	flew	flown	лететь
strike	struck	stricken	ударять
sell	sold	sold	продавать
throw	threw	thrown	бросать
wear	wore	worn	носить
blow	blew	blown	дуть
teach	taught	taught	учить
spend	spent	spent	тратить
hit	hit	hit	бить
shut	shut	shut	закрывать
beat	beat	beaten	бить
win	won	won	выигрывать
sing	sang	sung	петь
feed	fed	fed	кормить
wet	wet	wet	мочить
catch	caught	caught	ловить
hurt	hurt	hurt	причинить боль
stick	stuck	stuck	придерживаться
hide	hid	hidden	скрывать
ride	rode	ridden	ездить
string	strang	strung	натягивать
shed	shed	shed	проливать
bid	bid	bid	предлагать цену
rid	rid	rid	избавиться
burn	burnt	burnt	жечь
hang	hung	hung	вешать
tear	tore	torn	рвать
shake	shook	shaken	трясти
forgive	forgave	forgiven	прощать
shoot	shot	shot	стрелять
wake	woke	woken	просыпаться
sink	sank	sunk	раковина
bind	bound	bound	привязывать
bend	bent	bent	сгибать
lend	lent	lent	давать в долг
swear	swore	sworn	клясться
breed	bred	bred	разводить
awake	awoke	awoken	пробуждаться
spin	span	spun	вращать
shine	shone	shone	сиять
lean	leant	leant	прислоняться
slide	slid	slid	скользить
sweep	swept	swept	подметать
shear	shore	shorn	стричь
weep	wept	wept	рыдать
swing	swung	swung	свинг
bite	bit	bitten	кусать
steal	stole	stolen	красть
leap	leapt	leapt	прыгать
swell	swelled	swollen	разбухать
spoil	spoilt	spoilt	портить
strive	strove	striven	стараться
plead	pled	pled	умолять
forbid	forbade	forbidden	запрещать
tread	trod	trod	ступать
swim	swam	swum	плавать
bet	bet	bet	делать ставку
creep	crept	crept	ползать
dig	dug	dug	копать
flee	fled	fled	бежать
beseech	besought	besought	умолять
sow	sew	sown	сеять
shrink	shrank	shrunk	сжиматься
thrive	throve	thriven	процветать
slit	slit	slit	рвать
forsake	forsook	forsaken	оставлять
sting	stang	stung	жалить
cling	clung	clung	цепляться
knit	knit	knit	вязать
freeze	froze	frozen	замерзать
slay	slew	slain	сражать
spit	spat	spit	плевать
dive	dove	dived	погружаться
kneel	knelt	knelt	вставать на колени
weave	wove	woven	ткать
fling	flung	flung	подбрасывать
bleed	bled	bled	кровоточить
wed	wed	wed	жениться, выходить замуж
sew	sewed	sewn	шить
stride	strode	stridden	шагать
rend	rent	rent	раскалывать
spill	spilt	spilt	проливать
heave	hove	hoven	поднимать
shave	shove	shaven	брить
cleave	clove	cloven	раскалывать
beget	begot	begotten	порождать, давать начало
sling	slang	slung	бросать
smite	smote	smitten	сражать
hew	hew	hewn	колоть (дрова)
wring	wrung	wrung	скрутить
stink	stank	stunk	вонять
sneak	snuck	snuck	подкрадываться
mow	mowed	mown	косить
strew	strew	strewn	разбрасывать
slink	slunk	slunk	красться
proofread	proofread	proofread	вычитывать